,homeid,install_type,location,residents,starttime,starttime_enhanced,endtime,cohortid,income_band,study_class,hometype,equivalised_income,occupancy,urban_rural_class,urban_rural_name,build_era,new_build_year,smart_monitors,smart_automation,occupied_days,occupied_nights,entry_floor,outdoor_space,outdoor_drying
111,183,standard,Edinburgh,2,29/08/2017 12:54,,30/06/2018 22:59,control_20170915,"£27,000 to £32,399",control,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
112,184,standard,EastLothian,2,31/08/2017 10:46,,30/06/2018 22:59,treatment_20171013,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1965-1980,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
113,185,standard,Edinburgh,3,01/09/2017 07:36,,30/06/2018 22:59,treatment_20171013,Missing,treatment,house_or_bungalow,missing,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,4,7,Ground,Yes - private,Yes
114,188,standard,Edinburgh,3,05/09/2017 07:28,,30/06/2018 22:59,treatment_20171013,"£19,800 to £23,399",treatment,flat,below_median,multiple,1,Large Urban Areas,1919-1930,,Don't own,Don't own,4,7,Ground,Yes - private,Yes
115,187,standard,WestLothian,3,04/09/2017 10:57,,30/06/2018 22:59,treatment_20171013,"£27,000 to £32,399",treatment,house_or_bungalow,below_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Don't own,6,7,Ground,Yes - private,Yes
116,186,standard,Edinburgh,2,08/09/2017 07:22,,30/06/2018 22:59,treatment_20171013,"£54,000 to £65,999",treatment,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1981-1990,,Own but don't use,Don't own,2,7,Ground,Yes - private,Yes
117,189,standard,EastLothian,2,06/09/2017 07:41,,28/06/2018 08:30,treatment_20171115,"£32,400 to £37,799",treatment,flat,above_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,6,7,Ground,Yes - private,Yes
118,190,standard,Edinburgh,3,06/09/2017 12:55,,14/06/2018 14:00,control_20171013,"£54,000 to £65,999",control,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,7,7,2nd,No,
119,192,standard,Edinburgh,4,13/09/2017 13:41,,16/06/2018 09:30,control_20171013,Missing,control,house_or_bungalow,missing,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
120,191,standard,Edinburgh,4,13/09/2017 08:02,,30/06/2018 22:59,control_20171013,"£43,200 to £48,599",control,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1965-1980,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
121,193,standard,Edinburgh,1,19/09/2017 10:19,,30/06/2018 22:59,control_20171013,"£54,000 to £65,999",control,flat,above_median,single,1,Large Urban Areas,1945-1964,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
122,194,standard,Edinburgh,1,19/09/2017 13:46,,27/06/2018 10:00,control_20171115,"£16,200 to £19,799",control,flat,below_median,single,1,Large Urban Areas,1900-1918,,Don't own,Don't own,2,7,Ground,Yes - shared with neighbours,Yes
123,195,standard,Edinburgh,4,20/09/2017 07:35,,30/06/2018 22:59,treatment_20171013,"£19,800 to £23,399",treatment,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
124,197,standard,Edinburgh,1,26/09/2017 09:55,,26/06/2018 09:30,treatment_20171013,"£19,800 to £23,399",treatment,flat,below_median,single,1,Large Urban Areas,1919-1930,,Don't own,Don't own,3,5,1st,Yes - shared with neighbours,Yes
125,199,standard,Edinburgh,4,28/09/2017 08:34,,14/06/2018 07:00,treatment_20171013,"£54,000 to £65,999",treatment,house_or_bungalow,above_median,multiple,3+,Small Towns or Rural Areas,1900-1918,,Own and use,,2,7,Ground,Yes - private,Yes
126,200,standard,WestLothian,5,28/09/2017 11:25,,30/06/2018 22:59,control_20171013,"£54,000 to £65,999",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,3,7,Ground,Yes - private,Yes
127,201,standard,Midlothian,5,29/09/2017 07:49,,30/06/2018 22:59,control_20171013,"£54,000 to £65,999",control,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,1st,Yes - shared with neighbours,Yes
128,202,standard,EastLothian,1,29/09/2017 12:07,,30/06/2018 22:59,treatment_20171013,"£27,000 to £32,399",treatment,house_or_bungalow,above_median,single,1,Large Urban Areas,1981-1990,,Don't own,Don't own,5,4,Ground,Yes - private,Yes
129,203,standard,Edinburgh,1,02/10/2017 10:10,,16/06/2018 08:00,control_20171115,"£32,400 to £37,799",control,house_or_bungalow,above_median,single,1,Large Urban Areas,1965-1980,,Don't own,Don't own,3,7,Ground,Yes - private,No
130,206,standard,EastLothian,4,04/10/2017 07:27,,30/06/2018 22:59,treatment_20171115,"£54,000 to £65,999",treatment,house_or_bungalow,above_median,multiple,3+,Small Towns or Rural Areas,Before 1850,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
131,205,standard,Edinburgh,2,05/10/2017 07:45,,30/06/2018 22:59,treatment_20171115,"£43,200 to £48,599",treatment,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,0,4,3rd,No,
132,208,enhanced,Edinburgh,2,06/10/2017 11:46,19/01/2018 08:00,30/06/2018 22:59,enhanced_20180119,"£43,200 to £48,599",enhanced,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,3,7,1st,Yes - shared with neighbours,Yes
133,207,standard,WestLothian,3,05/10/2017 13:53,,30/06/2018 22:59,treatment_20171115,"£90,000 or more",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1981-1990,,Don't own,Don't own,4,7,Ground,Yes - private,
134,210,standard,Edinburgh,4,09/10/2017 07:11,,30/06/2018 22:59,control_20171214,"£48,600 to £53,999",control,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,5,7,Ground,Yes - private,Yes
135,213,standard,Edinburgh,1,12/10/2017 07:00,,30/06/2018 22:59,treatment_20171115,"£32,400 to £37,799",treatment,flat,above_median,single,1,Large Urban Areas,1900-1918,,Don't own,Don't own,2,7,2nd,Yes - shared with neighbours,Yes
136,214,standard,Edinburgh,3,12/10/2017 10:36,,30/06/2018 22:59,control_20171115,"£48,600 to £53,999",control,flat,above_median,multiple,1,Large Urban Areas,1931-1944,,Don't own,Don't own,4,7,Ground,Yes - private,Yes
137,216,standard,Edinburgh,1,13/10/2017 07:31,,30/06/2018 22:59,treatment_20171115,"£13,500 to £16,199",treatment,flat,below_median,single,1,Large Urban Areas,1991-1995,,Don't own,Don't own,1,7,2nd,Yes - shared with neighbours,Yes
138,211,standard,Edinburgh,3,10/10/2017 07:20,,29/06/2018 13:00,treatment_20171115,"£90,000 or more",treatment,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
139,212,enhanced,EastLothian,3,11/10/2017 10:19,30/11/2017 12:30,30/06/2018 22:59,enhanced_20171201,"£23,400 to £26,999",enhanced,flat,below_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,5,7,1st,Yes - private,Yes
140,218,standard,Edinburgh,4,13/10/2017 13:04,,30/06/2018 22:59,treatment_20171115,"£48,600 to £53,999",treatment,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,4,7,Basement (level -1),No,
141,215,standard,Edinburgh,2,12/10/2017 13:19,,30/06/2018 22:59,control_20171115,"£66,000 to £77,999",control,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,2nd,Yes - shared with neighbours,Yes
142,219,standard,Edinburgh,0,16/10/2017 13:05,,23/03/2018 13:00,control_20171115,"£78,000 to £89,999",control,flat,missing,missing,1,Large Urban Areas,1850-1899,,Don't own,Don't own,5,7,Ground,Yes - shared with neighbours,Yes
143,221,standard,Edinburgh,2,17/10/2017 15:30,,01/05/2018 13:30,treatment_20171115,"£19,800 to £23,399",treatment,flat,below_median,multiple,1,Large Urban Areas,1996-2001,,Don't own,Don't own,5,5,2nd,Yes - shared with neighbours,No
144,222,standard,WestLothian,3,18/10/2017 07:18,,28/06/2018 14:00,control_20171115,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
145,223,standard,Edinburgh,4,18/10/2017 15:34,,12/06/2018 07:30,treatment_20171115,"less than £10,800",treatment,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1996-2001,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
146,209,standard,Edinburgh,1,20/10/2017 10:29,,30/06/2018 22:59,control_20171115,"£43,200 to £48,599",control,flat,above_median,single,1,Large Urban Areas,2002 or later,2016.0,Don't own,Don't own,3,5,Ground,Yes - private,No
147,224,standard,Edinburgh,2,24/10/2017 07:15,,30/06/2018 22:59,control_20171115,"£54,000 to £65,999",control,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1965-1980,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
148,225,enhanced,Edinburgh,2,24/10/2017 10:17,21/12/2017 08:30,30/06/2018 22:59,enhanced_20171221,Missing,enhanced,flat,missing,multiple,1,Large Urban Areas,Before 1850,,Don't own,Don't own,6,7,3rd,Yes - shared with neighbours,No
149,226,standard,Edinburgh,2,25/10/2017 07:37,,30/06/2018 22:59,treatment_20180316,"£54,000 to £65,999",treatment,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,5,7,2nd,Yes - shared with neighbours,No
150,228,enhanced,Edinburgh,0,27/10/2017 08:00,20/12/2017 08:00,30/06/2018 22:59,enhanced_20171221,"£66,000 to £77,999",enhanced,flat,missing,missing,1,Large Urban Areas,1850-1899,,Don't own,Don't own,2,7,2nd,Yes - shared with neighbours,Yes
151,227,enhanced,Edinburgh,2,26/10/2017 07:23,05/12/2017 08:00,30/06/2018 22:59,enhanced_20171208,"£19,800 to £23,399",enhanced,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,6,6,Ground,Yes - shared with neighbours,Yes
152,229,standard,Midlothian,4,30/10/2017 08:57,,30/06/2018 22:59,control_20180418,"£90,000 or more",control,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,5,7,Ground,Yes - private,No
153,232,standard,Edinburgh,3,30/10/2017 14:33,,19/06/2018 13:30,control_20171115,"less than £10,800",control,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1919-1930,,Don't own,Don't own,4,7,Ground,Yes - private,Yes
154,230,standard,Edinburgh,5,30/10/2017 11:34,,30/06/2018 22:59,control_20171115,"£43,200 to £48,599",control,house_or_bungalow,below_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
155,231,enhanced,Midlothian,2,30/10/2017 13:41,09/02/2018 12:00,30/06/2018 22:59,enhanced_20180209,"£32,400 to £37,799",enhanced,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1965-1980,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
156,233,standard,Edinburgh,4,31/10/2017 14:21,,22/05/2018 15:00,control_20171115,"£54,000 to £65,999",control,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1965-1980,,Don't own,Own but don't use,5,7,Ground,Yes - private,Yes
157,236,standard,Midlothian,5,01/11/2017 11:45,,30/06/2018 22:59,treatment_20171214,"£27,000 to £32,399",treatment,house_or_bungalow,below_median,multiple,2,Other Urban Areas,2002 or later,2014.0,Don't own,Don't own,7,7,Ground,Yes - private,Yes
158,237,standard,Edinburgh,2,02/11/2017 08:43,,30/06/2018 22:59,control_20171214,"£54,000 to £65,999",control,flat,above_median,multiple,1,Large Urban Areas,2002 or later,2008.0,Don't own,Don't own,2,7,2nd,No,
159,235,standard,Midlothian,1,03/11/2017 08:37,,30/06/2018 22:59,treatment_20171214,"£90,000 or more",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1965-1980,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
160,239,standard,Edinburgh,2,03/11/2017 12:55,,30/06/2018 22:59,control_20171214,"£32,400 to £37,799",control,flat,above_median,multiple,1,Large Urban Areas,1965-1980,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
161,238,enhanced,Edinburgh,2,02/11/2017 12:45,19/04/2018 12:30,30/06/2018 22:59,enhanced_20180419,"£37,800 to £43,199",enhanced,flat,above_median,multiple,1,Large Urban Areas,1919-1930,,Own but don't use,Own and use,5,7,Ground,Yes - private,Yes
162,234,standard,Edinburgh,1,01/11/2017 09:32,,30/06/2018 22:59,treatment_20171214,"£16,200 to £19,799",treatment,flat,below_median,single,1,Large Urban Areas,1850-1899,,Don't own,Don't own,2,5,1st,Yes - shared with neighbours,No
163,240,standard,Edinburgh,4,06/11/2017 09:11,,30/06/2018 22:59,treatment_20171214,"£37,800 to £43,199",treatment,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,4,7,3rd,Yes - shared with neighbours,Yes
164,243,standard,EastLothian,3,07/11/2017 13:29,,30/06/2018 22:59,control_20171214,"£19,800 to £23,399",control,house_or_bungalow,below_median,multiple,2,Other Urban Areas,1919-1930,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
165,241,standard,Edinburgh,2,07/11/2017 08:53,,30/06/2018 22:59,treatment_20171214,"£37,800 to £43,199",treatment,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,1,6,3rd,Yes - shared with neighbours,No
166,242,enhanced,Edinburgh,3,07/11/2017 12:49,06/02/2018 08:00,30/06/2018 22:59,enhanced_20180207,"£78,000 to £89,999",enhanced,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1965-1980,,Don't own,Don't own,4,7,Ground,Yes - private,Yes
167,245,standard,Edinburgh,3,09/11/2017 08:47,,21/06/2018 08:30,treatment_20171214,"£54,000 to £65,999",treatment,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1931-1944,,Don't own,Don't own,6,7,Ground,Yes - private,Yes
168,244,standard,Edinburgh,4,08/11/2017 13:00,,30/06/2018 22:59,control_20171214,"£19,800 to £23,399",control,flat,below_median,multiple,1,Large Urban Areas,1919-1930,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
169,246,standard,Edinburgh,3,09/11/2017 08:52,,30/06/2018 22:59,control_20171214,"£90,000 or more",control,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1965-1980,,Don't own,Own and use,4,7,Ground,Yes - private,Yes
170,247,standard,Edinburgh,3,13/11/2017 08:59,,19/06/2018 14:30,control_20171214,"£66,000 to £77,999",control,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,5,7,Ground,Yes - private,Yes
171,249,enhanced,Edinburgh,2,13/11/2017 13:29,29/01/2018 08:00,30/06/2018 22:59,enhanced_20180130,Missing,enhanced,flat,missing,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,3rd,Yes - shared with neighbours,Yes
172,248,standard,Edinburgh,2,13/11/2017 09:25,,30/06/2018 22:59,treatment_20171214,"£27,000 to £32,399",treatment,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,1st,Yes - shared with neighbours,Yes
173,250,standard,Edinburgh,2,17/11/2017 08:34,,30/06/2018 22:59,control_20171214,"£43,200 to £48,599",control,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,2,7,2nd,Yes - shared with neighbours,No
174,251,standard,Midlothian,1,17/11/2017 14:22,,30/06/2018 22:59,treatment_20171214,"£54,000 to £65,999",treatment,flat,above_median,single,1,Large Urban Areas,1850-1899,,Own and use,Don't own,2,7,Ground,Yes - private,Yes
175,253,standard,Midlothian,2,21/11/2017 08:37,,12/06/2018 10:00,treatment_20171214,"£90,000 or more",treatment,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,2nd,Yes - shared with neighbours,Yes
176,254,standard,EastLothian,5,21/11/2017 13:12,,16/04/2018 11:00,treatment_20180213,"£48,600 to £53,999",treatment,house_or_bungalow,below_median,multiple,3+,Small Towns or Rural Areas,1991-1995,,Don't own,Don't own,5,7,Ground,Yes - private,Yes
177,252,standard,EastLothian,3,21/11/2017 08:36,,14/06/2018 15:00,treatment_20171214,"£54,000 to £65,999",treatment,flat,above_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,2,7,1st,Yes - shared with neighbours,Yes
178,255,enhanced,Edinburgh,3,23/11/2017 14:44,20/03/2018 14:00,30/06/2018 22:59,enhanced_20180321,"£19,800 to £23,399",enhanced,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,Basement (level -1),Yes - shared with neighbours,Yes
179,256,standard,Edinburgh,2,27/11/2017 12:58,,16/06/2018 09:00,control_20171214,"£54,000 to £65,999",control,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,3,7,1st,Yes - private,Yes
180,260,standard,Fife,2,30/11/2017 08:16,,06/06/2018 13:00,control_20180115,"£32,400 to £37,799",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1965-1980,,Don't own,Don't own,4,7,Ground,Yes - private,Yes
181,257,standard,Edinburgh,1,29/11/2017 09:23,,19/06/2018 07:00,control_20171214,"£43,200 to £48,599",control,flat,above_median,single,1,Large Urban Areas,2002 or later,2008.0,Don't own,Don't own,2,5,4th,Yes - private,Yes
182,258,standard,Edinburgh,2,29/11/2017 12:55,,27/06/2018 09:00,control_20171214,"£27,000 to £32,399",control,flat,below_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,3,7,1st,Yes - private,Yes
183,262,enhanced,Edinburgh,2,04/12/2017 08:44,26/02/2018 08:00,30/06/2018 22:59,enhanced_20180227,"£37,800 to £43,199",enhanced,flat,above_median,multiple,1,Large Urban Areas,1931-1944,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
184,261,standard,Fife,3,04/12/2017 08:49,,30/06/2018 22:59,control_20180115,"£90,000 or more",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,2,7,Ground,Yes - private,Yes
185,264,enhanced,Edinburgh,4,06/12/2017 13:18,21/03/2018 08:00,30/06/2018 22:59,enhanced_20180321,"£48,600 to £53,999",enhanced,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Own and use,4,7,Ground,Yes - private,Yes
186,263,enhanced,Fife,4,06/12/2017 08:50,24/01/2018 12:00,30/06/2018 22:59,enhanced_20180124,"£32,400 to £37,799",enhanced,house_or_bungalow,below_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
187,266,enhanced,Edinburgh,2,07/12/2017 11:50,30/01/2018 12:30,30/06/2018 22:59,enhanced_20180130,"£66,000 to £77,999",enhanced,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,4,7,Ground,Yes - private,Don't know
188,267,standard,Midlothian,2,07/12/2017 17:53,,30/06/2018 22:59,treatment_20180115,"£54,000 to £65,999",treatment,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,0,2,2nd,Yes - shared with neighbours,Yes
189,268,enhanced,Fife,1,08/12/2017 08:28,12/04/2018 07:00,30/06/2018 22:59,enhanced_20180418,"£27,000 to £32,399",enhanced,house_or_bungalow,above_median,single,3+,Small Towns or Rural Areas,1965-1980,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
190,269,standard,Fife,2,08/12/2017 12:58,,30/06/2018 22:59,control_20180213,"£48,600 to £53,999",control,flat,above_median,multiple,2,Other Urban Areas,1850-1899,,Don't own,Don't own,2,7,1st,Yes - shared with neighbours,Yes
191,265,standard,Edinburgh,3,11/12/2017 13:06,,30/06/2018 22:59,treatment_20180316,"£27,000 to £32,399",treatment,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Own and use,Don't own,2,7,1st,Yes - shared with neighbours,
192,270,standard,Edinburgh,4,12/12/2017 12:57,,30/06/2018 22:59,treatment_20180213,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1919-1930,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
193,272,standard,Midlothian,2,14/12/2017 09:14,,30/06/2018 22:59,treatment_20180115,"£27,000 to £32,399",treatment,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,1,7,1st,Yes - shared with neighbours,Yes
194,273,standard,Edinburgh,3,14/12/2017 12:32,,30/06/2018 22:59,control_20180115,"£54,000 to £65,999",control,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1945-1964,,Don't own,Don't own,4,7,Ground,Yes - private,Yes
195,271,standard,Fife,0,14/12/2017 09:41,,30/06/2018 22:59,treatment_20180115,"£48,600 to £53,999",treatment,house_or_bungalow,missing,missing,3+,Small Towns or Rural Areas,2002 or later,2013.0,Don't own,Don't own,2,7,Ground,Yes - private,Yes
196,259,enhanced,Midlothian,2,11/12/2017 10:17,05/06/2018 07:00,30/06/2018 22:59,enhanced_20180605,"£23,400 to £26,999",enhanced,house_or_bungalow,below_median,multiple,2,Other Urban Areas,1945-1964,,Don't own,Own and use,0,2,Ground,Yes - private,Yes
197,275,standard,Edinburgh,1,18/12/2017 13:09,,07/06/2018 10:30,control_20180115,"£10,800 to £13,499",control,flat,below_median,single,1,Large Urban Areas,1850-1899,,Don't own,Don't own,4,7,2nd,Yes - shared with neighbours,Don't know
198,274,standard,Edinburgh,1,18/12/2017 12:43,,30/06/2018 22:59,treatment_20180115,"£23,400 to £26,999",treatment,flat,above_median,single,1,Large Urban Areas,1996-2001,,Don't own,Don't own,2,5,3rd,Yes - shared with neighbours,No
199,277,standard,Midlothian,2,19/12/2017 13:01,,30/06/2018 22:59,treatment_20180115,"£23,400 to £26,999",treatment,house_or_bungalow,below_median,multiple,2,Other Urban Areas,1965-1980,,Don't own,Don't own,4,7,Ground,No,
200,276,enhanced,Edinburgh,3,19/12/2017 10:25,03/05/2018 13:30,30/06/2018 22:59,enhanced_20180511,"£48,600 to £53,999",enhanced,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Own and use,Own and use,7,7,Ground,Yes - private,Yes
201,278,standard,Edinburgh,2,19/12/2017 14:13,,30/06/2018 22:59,control_20180115,"£43,200 to £48,599",control,flat,above_median,multiple,1,Large Urban Areas,Before 1850,,Don't own,Don't own,2,7,1st,Yes - shared with neighbours,Yes
202,280,standard,Edinburgh,3,22/12/2017 13:21,,30/06/2018 22:59,treatment_20180115,"£78,000 to £89,999",treatment,flat,above_median,multiple,1,Large Urban Areas,Before 1850,,Own but don't use,Don't own,3,0,Ground,Yes - shared with neighbours,Yes
203,279,standard,Edinburgh,1,20/12/2017 12:27,,30/06/2018 22:59,control_20180514,"£37,800 to £43,199",control,flat,above_median,single,1,Large Urban Areas,1850-1899,,Don't own,Own and use,2,7,3rd,Yes - shared with neighbours,Yes
204,281,standard,Fife,2,08/01/2018 10:06,,30/06/2018 22:59,treatment_20180213,"£43,200 to £48,599",treatment,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1900-1918,,Don't own,Own and use,4,7,Ground,Yes - private,Yes
205,283,standard,Edinburgh,2,12/01/2018 13:24,,30/06/2018 22:59,treatment_20180213,"£54,000 to £65,999",treatment,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1931-1944,,Don't own,Don't own,7,7,Ground,Yes - private,Yes
206,282,standard,Edinburgh,4,11/01/2018 09:18,,30/06/2018 22:59,control_20180213,"£54,000 to £65,999",control,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,5,7,Ground,Yes - private,
207,284,standard,Edinburgh,3,18/01/2018 08:34,,30/06/2018 22:59,control_20180213,"£37,800 to £43,199",control,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,3,3,Ground,Yes - shared with neighbours,Yes
208,286,standard,Edinburgh,1,22/01/2018 12:41,,07/06/2018 08:30,control_20180316,"£10,800 to £13,499",control,flat,below_median,single,1,Large Urban Areas,1850-1899,,Don't own,Don't own,7,7,Ground,Yes - shared with neighbours,Yes
209,291,standard,Fife,2,25/01/2018 09:48,,30/06/2018 22:59,control_20180514,"£66,000 to £77,999",control,house_or_bungalow,above_median,multiple,2,Other Urban Areas,1919-1930,,Own but don't use,Own and use,4,7,Ground,Yes - private,Yes
210,285,standard,Edinburgh,2,18/01/2018 13:23,,30/06/2018 22:59,treatment_20180213,"£54,000 to £65,999",treatment,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,2,7,2nd,No,
211,292,standard,Edinburgh,2,25/01/2018 12:25,,30/06/2018 22:59,control_20180514,"£37,800 to £43,199",control,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Own and use,7,7,1st,Yes - shared with neighbours,Yes
212,289,standard,EastLothian,1,05/02/2018 12:43,,30/06/2018 22:59,treatment_20180316,"£10,800 to £13,499",treatment,flat,below_median,single,3+,Small Towns or Rural Areas,1931-1944,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
213,287,standard,Edinburgh,4,31/01/2018 08:52,,14/06/2018 08:00,control_20180213,"£90,000 or more",control,flat,above_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,3,7,3rd,Yes - shared with neighbours,No
214,288,standard,Midlothian,2,05/02/2018 08:25,,12/06/2018 09:00,treatment_20180418,"£19,800 to £23,399",treatment,flat,below_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,2,7,Basement (level -1),Yes - shared with neighbours,Yes
215,290,standard,Edinburgh,3,05/02/2018 12:48,,30/06/2018 22:59,treatment_20180316,"£78,000 to £89,999",treatment,house_or_bungalow,above_median,multiple,1,Large Urban Areas,1919-1930,,Don't own,Don't own,5,7,Ground,Yes - private,Yes
216,294,standard,Edinburgh,2,12/02/2018 13:05,,30/06/2018 22:59,treatment_20180316,"£43,200 to £48,599",treatment,flat,above_median,multiple,1,Large Urban Areas,Before 1850,,Don't own,Don't own,2,7,Ground,No,
217,295,standard,Edinburgh,1,16/02/2018 08:38,,26/06/2018 07:30,control_20180514,"£90,000 or more",control,flat,above_median,single,1,Large Urban Areas,1850-1899,,Don't own,Don't own,2,7,Ground,Yes - private,No
218,296,standard,Midlothian,3,16/02/2018 15:04,,30/06/2018 22:59,treatment_20180316,"£19,800 to £23,399",treatment,flat,below_median,multiple,1,Large Urban Areas,1850-1899,,Don't own,Don't own,2,6,2nd,Yes - shared with neighbours,Yes
219,293,standard,WestLothian,2,14/02/2018 08:19,,30/06/2018 22:59,treatment_20180514,"£48,600 to £53,999",treatment,house_or_bungalow,above_median,multiple,3+,Small Towns or Rural Areas,1965-1980,,Don't own,Don't own,2,7,Ground,Yes - private,Yes
220,300,standard,Edinburgh,1,21/02/2018 13:22,,19/06/2018 12:00,treatment_20180316,"£32,400 to £37,799",treatment,flat,above_median,single,1,Large Urban Areas,1996-2001,,Don't own,Don't own,2,7,1st,Yes - shared with neighbours,No
221,302,standard,Edinburgh,2,23/02/2018 13:55,,27/06/2018 07:00,control_20180316,"£78,000 to £89,999",control,flat,above_median,multiple,1,Large Urban Areas,1900-1918,,Don't own,Don't own,1,4,Ground,Yes - shared with neighbours,Yes
222,303,standard,Edinburgh,1,26/02/2018 14:13,,30/06/2018 22:59,treatment_20180514,"£13,500 to £16,199",treatment,house_or_bungalow,below_median,single,1,Large Urban Areas,1965-1980,,Don't own,Don't own,3,7,Ground,Yes - private,Yes
